Million Plus Cities,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Note-2004,Note-2005,Note-2006
Agra,NA,NA,NA,NA,NA,NA,580,640,704,752,825,905,NA,NA,NA
Ahmedabad,"1,075","1,632","1,780","1,451","1,586","1,691",NA,NA,"1,682","1,796","3,196","3,420",NA,NA,NA
Allahabad,NA,NA,NA,NA,NA,NA,NA,NA,738,747,817,897,NA,NA,NA
Amritsar,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA.,NA.,NA,NA,NA
Aurangabad,NA,NA,NA,NA,NA,NA,NA,253,281,310,362,426,NA,NA,NA
Bengaluru,"1,891","2,232","2,617","2,179","2,640","3,016","3,491","3,791","4,156","4,591","5,050","5,560",NA,NA,NA
Bhopal,392,428,476,524,571,617,674,755,829,877,933,"1,080",NA,NA,NA
Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,"1,058","1,106",631,746,NA,NA,NA
Chennai,"2,015","2,167","2,338","2,518","2,701","2,919","3,149","3,456","3,767","4,072","4,354","4,934",NA,NA,NA
Coimbatore,630,682,750,827,910,"1,002","1,110","1,241","1,386","1,528","1,649","1,901",NA,NA,NA
Delhi,"4,237","4,186","4,487","5,492","5,899","6,302","6,747","7,228","7,350","7,785","8,293","8,851",NA,NA,NA
Dhanbad,NA,NA,NA,NA,NA,NA,31,41,462,490,521,563,NA,NA,NA
Durg Bhilai,NA,NA,NA,NA,NA,NA,NA,NA,445,490,721,769,NA,NA,NA
Ghaziabad,NA,NA,NA,NA,NA,NA,409,470,525,628,685,752,NA,NA,NA
Greater Mumbai,"1,199","1,295","1,394","1,503","1,605","1,674","1,768","1,870","2,029","2,187","2,333","2,571",NA,NA,NA
Gwalior,NA,NA,NA,NA,NA,NA,412,449,490,530,573,618,NA,NA,NA
Hyderabad,"1,356","1,433","1,522","2,181","2,444","2,682","2,728","3,033","3,387","2,040","2,203","2,369",NA,NA,NA
Indore,645,705,771,844,929,"1,007","1,098","1,213","1,338","1,491","1,568","1,713",NA,NA,NA
Jabalpur,NA,NA,NA,NA,NA,NA,516,559,605,646,585,638,NA,NA,NA
Jaipur,824,923,"1,051","1,177","1,289","1,387","1,549","1,694","1,871","1,962","2,121","2,249",NA,NA,NA
Jamshedpur,NA,NA,NA,NA,NA,NA,56,67,682,682,421,472,NA,NA,NA
Jodhpur,NA,NA,NA,NA,NA,NA,577,636,868,793,854,916,NA,NA,NA
Kannur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,188,NA,NA,NA
Kanpur,425,425,425,553,598,642,940,"1,002","1,067","1,143","1,227","1,462",^,^,^
Kochi,166,166,166,257,247,303,322,409,480,547,576,606,^,^,^
Kolkata,875,911,948,987,573,581,411,445,496,"1,278","1,339","1,402",NA,NA,NA
Kollam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,274,NA,NA,NA
Kota,NA,NA,NA,NA,NA,NA,440,473,953,554,597,654,NA,NA,NA
Kozhikode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,412,NA,NA,NA
Lucknow,615,615,615,801,962,"1,025","1,107","1,211","1,315","1,424","1,553","1,710",^,^,^
Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,"1,337",NA,NA,NA,NA,NA,NA
Madurai,304,330,364,402,440,478,530,603,680,768,833,955,NA,NA,NA
Malappuram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,277,NA,NA,NA
Meerut,NA,NA,NA,NA,NA,NA,387,423,420,412,459,525,NA,NA,NA
Nagpur,543,770,824,884,946,"1,009","1,079","1,157","1,237","1,270","1,274","1,276",NA,NA,NA
Nashik,NA,NA,NA,NA,NA,NA,358,398,444,490,541,622,NA,NA,NA
Patna,336,378,405,437,471,516,581,658,743,829,941,"1,019",^,NA,NA
Pune,755,827,874,930,"1,141","1,153","1,908","2,094","2,267","2,347","2,185","2,337",NA,NA,NA
Raipur,NA,NA,NA,NA,NA,NA,469,527,579,639,980,"1,112",NA,NA,NA
Rajkot,NA,NA,NA,NA,NA,NA,NA,NA,760,827,888,979,NA,NA,NA
Ranchi,NA,NA,NA,NA,NA,NA,NA,NA,729,684,74,547,NA,NA,NA
Srinagar,NA,NA,NA,NA,NA,NA,172,184,201,218,218,236,NA,NA,NA
Surat,692,692,692,912,982,"1,036",NA,NA,"1,145","1,241","2,244","2,459",NA,*,*
Trichy,NA,NA,NA,NA,NA,NA,400,457,521,593,649,763,NA,NA,NA
Thiruvananthapu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,572,NA,NA,NA
Thrissur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,355,NA,NA,NA
Varanasi,366,366,366,456,482,522,497,538,588,633,695,769,^,^,^
Vijayawada,NA,NA,NA,NA,NA,NA,523,466,553,517,568,610,NA,NA,NA
Vadodara,586,586,586,861,934,"1,009",NA,NA,839,914,980,"1,042",NA,*,*
Visakhapatnam,412,435,462,472,515,559,586,617,683,643,690,731,NA,NA,NA
Total,"20,339","22,184","23,913","26,648","28,865","31,130","35,605","39,058","53,492","53,473","60,112","66,244",NA,NA,NA
